level,touches
2637.4833984375,3
2989.6375732421875,4
3006.5916341145835,6
3041.0375366210938,4
3053.5000813802085,3
3075.375,4
3099.7750244140625,6
3131.9166666666665,3
3154.5499877929688,4
3170.1582845052085,6
3201.433349609375,6
3218.5333658854165,3
3252.3500162760415,3
3328.97001953125,5
3352.163662997159,11
3368.0,3
3391.6900390625,5
3408.4166666666665,3
3434.9249877929688,4
3456.239990234375,5
3774.839990234375,5
3806.210009765625,5
3831.13330078125,3
3994.6832682291665,3
4030.11669921875,3
4432.833333333333,3
